Approved,Comment,TypeName,Name,ProtocolDetail,RequiredRole,AllowedInOrionDemo,File,StartLine,EndLine,ImplSha256,GitPath,Revision
no,,AsaInterfacesController,Get,HttpGet,None,no,Src\Web2\SolarWinds.Orion.ASA.WebApi\Controllers\AsaInterfacesController.cs,22,45,60a5b04878c4f0b8d0e38a7ad1685cbc30782aec440de790cf0b4ad10b6789a2,,
no,,AsaInterfacesController,RemoveFavorite,HttpPost,None,no,Src\Web2\SolarWinds.Orion.ASA.WebApi\Controllers\AsaInterfacesController.cs,64,79,84e3d7a04346343bfb132d132e4115cf9aa6e02a15788f7595e3710038f00b5e,,
no,,AsaInterfacesController,SetFavorite,HttpPost,None,no,Src\Web2\SolarWinds.Orion.ASA.WebApi\Controllers\AsaInterfacesController.cs,47,62,69082b2354ccfbcae7bc3f19a6d5f3fb297ab44e89ffced05825313502826b1b,,
no,,AsaNodesController,HasCredentialsForNode,HttpGet,None,no,Src\Web2\SolarWinds.Orion.ASA.WebApi\Controllers\AsaNodesController.cs,20,44,3f3afb6aa22823f00ac9b97a223e9c7f11262c986272b0f340c5081a203332e9,,
no,,HighAvailabilityController,GetHighAvailabilityInfo,HttpGet,None,no,Src\Web2\SolarWinds.Orion.ASA.WebApi\Controllers\HighAvailabilityController.cs,19,24,3f1792e5609be769d5f3abd243223adad0d5d3a97859ebf2ea85f51750ff08c5,,
no,,NodeContextController,GetNodeContexts,HttpGet,None,no,Src\Web2\SolarWinds.Orion.ASA.WebApi\Controllers\NodeContextController.cs,21,27,367ffb11b0f552eb3bdb8e28d5be80a22e682f8827b60b19e4c317da633eb4a4,,
no,,PlatformController,GetPlatformDetails,HttpGet,None,no,Src\Web2\SolarWinds.Orion.ASA.WebApi\Controllers\PlatformController.cs,35,41,d0ba66b4098309ce9a7c5da084d903cf91131f8029a821d8000f78311091c725,,
no,,PlatformController,Index,HttpGet,None,no,Src\Web2\SolarWinds.Orion.ASA.WebApi\Controllers\PlatformController.cs,23,29,530f93d0f0e45dbb88cffda46893be4cf4797f5c368dd5021a5564789bb831a4,,
no,,VpnRemoteAccessController,GetSessions,HttpPost,None,no,Src\Web2\SolarWinds.Orion.ASA.WebApi\Controllers\VpnRemoteAccessController.cs,23,29,8cf8548ba1571d3b56eacc6387ee48541b3b535e890fa8d9f95b29ecb32c03c6,,
no,,VpnRemoteAccessController,GetSessionsViaGet,HttpGet,None,no,Src\Web2\SolarWinds.Orion.ASA.WebApi\Controllers\VpnRemoteAccessController.cs,31,37,23338723b020ebed91616c9507a45f32a7d9e22af0c5cfc70370dce5282bb505,,
no,,VpnSiteToSiteController,GetTunnels,HttpGet,None,no,Src\Web2\SolarWinds.Orion.ASA.WebApi\Controllers\VpnSiteToSiteController.cs,33,47,27d3d1c30861085b39044ec3557b97708e058da137e88df5d55291ae7f965f19,,
no,,VpnSiteToSiteController,GetTunnels,HttpPost,None,no,Src\Web2\SolarWinds.Orion.ASA.WebApi\Controllers\VpnSiteToSiteController.cs,49,65,8c979f0d44a822ae5c778565ea060f16255c95110ada7f0905737dc857b4e7dc,,
no,,VpnSiteToSiteController,GetTunnelsHealthChartData,HttpPost,None,no,Src\Web2\SolarWinds.Orion.ASA.WebApi\Controllers\VpnSiteToSiteController.cs,67,85,0d2954e6682770fa70e2810e6200db4759eebd6ff04d1a60f8174f427a4ff1cc,,
no,,VpnSiteToSiteController,RemoveFavorite,HttpPost,None,no,Src\Web2\SolarWinds.Orion.ASA.WebApi\Controllers\VpnSiteToSiteController.cs,104,119,fa9ccf41f2d7bde900ddfdc8a3d7094cc859ae0a7c9e0583edb5567a095bc2ac,,
no,,VpnSiteToSiteController,SetFavorite,HttpPost,None,no,Src\Web2\SolarWinds.Orion.ASA.WebApi\Controllers\VpnSiteToSiteController.cs,87,102,c4785af111544da60c5af052a28c782c5c5aebf1971a16e50826edb3101afba8,,
