Approved,Comment,TypeName,Name,ProtocolDetail,RequiredRole,AllowedInOrionDemo,File,StartLine,EndLine,ImplSha256,GitPath,Revision
no,,BalancingEnvironmentController,GetData,HttpPost,None,no,Lib\SolarWinds.F5.Web\Controllers\BalancingEnvironmentController.cs,51,69,847ab3603e000e333a39fea3eb08806d659f5cc37e1d4775378b8fe41c6dd7d5,,
no,,BalancingEnvironmentController,GetSearchResults,HttpGet,None,no,Lib\SolarWinds.F5.Web\Controllers\BalancingEnvironmentController.cs,83,91,ece0c418fbf03f943bb920e5e49a6f60eb4fa1fd0f597c5306b47dfe550fa3de,,
no,,BalancingEnvironmentController,RememberState,HttpPost,None,no,Lib\SolarWinds.F5.Web\Controllers\BalancingEnvironmentController.cs,71,81,a07570f8f0e314a87ed15123d38c63b908fe147a614e68033801ddf789b18e2c,,
no,,BalancingEnvironmentController,SaveUserSettings,HttpPost,None,no,Lib\SolarWinds.F5.Web\Controllers\BalancingEnvironmentController.cs,93,108,1a4e1eca77257d951033b68ed7e2d8a082b66ab9dea25140a526f2847531085f,,
no,,F5ChartController,GetDNSResolutions,HttpPost,None,no,Lib\SolarWinds.F5.Web\Controllers\F5ChartController.cs,30,35,b5acd821929c870d5f851b7ecf7e3b78d2bf0a161145b80a38b12f763ba8dec7,,
no,,F5ChartController,GetTopXPoolMember,HttpPost,None,no,Lib\SolarWinds.F5.Web\Controllers\F5ChartController.cs,80,85,328c06cdbf3151d30a7ae1fc76fe9388ef2c6029ef967c06f1fe655a0069b805,,
no,,F5ChartController,GetTopXPoolMemberForVirtualServers,HttpPost,None,no,Lib\SolarWinds.F5.Web\Controllers\F5ChartController.cs,87,92,f5e684b8f2c4071fec341e2fdf5e90a301bb9fb74a1496455639a6aeb9bcd441,,
no,,F5ChartController,GetTopXVirtualServers,HttpPost,None,no,Lib\SolarWinds.F5.Web\Controllers\F5ChartController.cs,44,78,b35e879f0b32f1d2a13f52c8d61aab5e258e06df034914592a6e5a8c200c6938,,
no,,F5ChartController,GetTopXWideIPDNSResolutions,HttpPost,None,no,Lib\SolarWinds.F5.Web\Controllers\F5ChartController.cs,37,42,fb958fb65e88071f033d07efc5875428656e044b9c1d26176d78726bacba1722,,
no,,F5DeviceController,GetF5DeviceDetails,HttpPost,None,no,Lib\SolarWinds.F5.Web\Controllers\F5DeviceController.cs,42,54,2e5b915d172901c563d9a439e0309e794462368f37b0ff03c636d218afdf0ad2,,
no,,F5GTMController,GetGTMDetails,HttpPost,None,no,Lib\SolarWinds.F5.Web\Controllers\F5GTMController.cs,45,57,3331d60423846ffb559da971d7dfa43b581aa898834eb84edd5c3a3a91d9b1b0,,
no,,F5GTMController,GetServiceDetails,HttpPost,None,no,Lib\SolarWinds.F5.Web\Controllers\F5GTMController.cs,59,71,d535358fc9503ed0761984693e36504afcbbf4dd684b8745b983cca91ed831b7,,
no,,F5LTMController,ChangeEnabledState,HttpPost,None,no,Lib\SolarWinds.F5.Web\Controllers\F5LTMController.cs,181,232,10c13c2e47535d73b3b7c5b3caff602c605df741ea543be1a66e43ae850986b5,,
no,,F5LTMController,CreateLinkF5ServertoNode,HttpPost,None,no,Lib\SolarWinds.F5.Web\Controllers\F5LTMController.cs,159,168,24c5670b1cbd697c94779bf314d03f7ec57c3c113ad86cc61c545597d7a879f3,,
no,,F5LTMController,GetLTMDetails,HttpPost,None,no,Lib\SolarWinds.F5.Web\Controllers\F5LTMController.cs,108,123,d4bf2a66835503c561bc01746f97db2c9469b91b28495d3767ca7076e7e6752b,,
no,,F5LTMController,GetLTMPoolDetails,HttpPost,None,no,Lib\SolarWinds.F5.Web\Controllers\F5LTMController.cs,77,92,89f52b55cb1ef668185b06c6e0e8350c875e8298485eaf152fce91bece440a80,,
no,,F5LTMController,GetLTMPoolMemberDetails,HttpPost,None,no,Lib\SolarWinds.F5.Web\Controllers\F5LTMController.cs,94,106,4c76acad191ad11c01f6a0e427d7fddfc16ef22a3fb4b011b24626b8080bf4be,,
no,,F5LTMController,GetPools,HttpGet,None,no,Lib\SolarWinds.F5.Web\Controllers\F5LTMController.cs,65,69,90c06183475b9b520c1161430dd827b29141cfc1c7db07a9e103cc9684befb86,,
no,,F5LTMController,GetServerDetails,HttpPost,None,no,Lib\SolarWinds.F5.Web\Controllers\F5LTMController.cs,142,157,28c566f444116a40df5608c5c38340bdb3e9a7bcd8e0c01b4e490c82bda07a2d,,
no,,F5LTMController,GetVirtualServerDetails,HttpPost,None,no,Lib\SolarWinds.F5.Web\Controllers\F5LTMController.cs,125,140,71593fc0a150575a992934066dbf4193c4ccab2a380c08815403df170fe34bf6,,
no,,F5LTMController,GetVirtualServers,HttpGet,None,no,Lib\SolarWinds.F5.Web\Controllers\F5LTMController.cs,71,75,29faded1b7ce438bf6ba7a7622861bb523fcd48f77b9304bd6ee034ac99469f5,,
no,,F5LTMController,RemoveLinkF5ServerToNode,HttpPost,None,no,Lib\SolarWinds.F5.Web\Controllers\F5LTMController.cs,170,179,3ec94864d1ea1ad7fd9f62d10e7e50771fc61217184ec256e949cefc256f94e6,,
