Approved,Comment,TypeName,Name,ProtocolDetail,RequiredRole,AllowedInOrionDemo,File,StartLine,EndLine,ImplSha256,GitPath,Revision
no,,InterfaceChartData,AvgBps,Asp.net WebMethod,None,,Orion\Interfaces\Services\InterfaceChartData.asmx,179,201,591ce6c46735590bc554d702637d88bf1b0e92c081901b491ffa6208c8266eac,,
no,,InterfaceChartData,AvgPps,Asp.net WebMethod,None,,Orion\Interfaces\Services\InterfaceChartData.asmx,156,177,926003d6077c2f84074ebcf15736d318c47779a73fcbaf75e1d3ce1e710bb2dc,,
no,,InterfaceChartData,InInterfaceErrorsDiscards,Asp.net WebMethod,None,,Orion\Interfaces\Services\InterfaceChartData.asmx,520,547,7859afdfe87fb0a09907bc5df95dbbf8ec21e02d2d36b0a9f25b321cf05d8ec7,,
no,,InterfaceChartData,InInterfaceUtilization,Asp.net WebMethod,None,,Orion\Interfaces\Services\InterfaceChartData.asmx,108,130,103916f06887d98240aa1f519a8b091cc83fe1de71c89d99c0ae080973bb284c,,
no,,InterfaceChartData,InterfaceAvailability,Asp.net WebMethod,None,,Orion\Interfaces\Services\InterfaceChartData.asmx,32,81,f200c5af9c6e24d5cf9ddd9c7c5f42ca2ec517c826be47b5f95da4d80eee095e,,
no,,InterfaceChartData,InterfaceDiscards,Asp.net WebMethod,None,,Orion\Interfaces\Services\InterfaceChartData.asmx,628,651,3e6005471945f1f7876ba1784e80d186dd5d8224d5a8fecd80fa285facf0534f,,
no,,InterfaceChartData,InterfaceErrors,Asp.net WebMethod,None,,Orion\Interfaces\Services\InterfaceChartData.asmx,578,601,ab12dc4edfd4810e3aebcf20887e707440c88e4f8ce9d79db763868d7af6bb3a,,
no,,InterfaceChartData,InterfaceErrorsDiscards,Asp.net WebMethod,None,,Orion\Interfaces\Services\InterfaceChartData.asmx,485,518,7a91e8de4a854ae06d8cd4d91e609e83a76493f05ebcbed15e7caf8af4e1407e,,
no,,InterfaceChartData,InterfaceUtilization,Asp.net WebMethod,None,,Orion\Interfaces\Services\InterfaceChartData.asmx,83,106,5d7bb0666435ef66003fd554cb4c4a6928dd972be598b5aaa8aefde90f0ea15c,,
no,,InterfaceChartData,MCastPps,Asp.net WebMethod,None,,Orion\Interfaces\Services\InterfaceChartData.asmx,603,626,94d2944b679a7092f0c16f5a1d199624c0536ad8916ae43ef0168a66008f7622,,
no,,InterfaceChartData,MMAvgBps,Asp.net WebMethod,None,,Orion\Interfaces\Services\InterfaceChartData.asmx,417,448,705bb97c3ef9cb3061862bdf1da5bfa4fc9dc4cdc7ef1ea3c4020725486c613f,,
no,,InterfaceChartData,MMAvgPps,Asp.net WebMethod,None,,Orion\Interfaces\Services\InterfaceChartData.asmx,384,415,1ca89572472ba65a9f75202be90bacc9fe3b994a41de37656ce1136238349fa4,,
no,,InterfaceChartData,MMAvgUtil,Asp.net WebMethod,None,,Orion\Interfaces\Services\InterfaceChartData.asmx,450,483,b2761eeb8b9e34b9fbff20c4e509b626cc4fb74e75f8acc5fcf0a9699b86db5a,,
no,,InterfaceChartData,OutInterfaceErrorsDiscards,Asp.net WebMethod,None,,Orion\Interfaces\Services\InterfaceChartData.asmx,549,576,4f5518bd1f6bb69b653955f987706fabd805ead9d2f15da4f075bccc5441ea04,,
no,,InterfaceChartData,OutInterfaceUtilization,Asp.net WebMethod,None,,Orion\Interfaces\Services\InterfaceChartData.asmx,132,154,645c856ccb964bb14629e85ca16fabddecbf16cb7a9b71dbab8b55163836d14d,,
no,,InterfaceChartData,TotalBytesTransferred,Asp.net WebMethod,None,,Orion\Interfaces\Services\InterfaceChartData.asmx,228,269,1f15494a4d8be0bbc71738bcb27ad1c143c9cfae2f78775ba13927a3656c6509,,
no,,InterfaceChartData,TotalPackets,Asp.net WebMethod,None,,Orion\Interfaces\Services\InterfaceChartData.asmx,203,226,9f66da940d6294df0b34c6c44381d00b3be2ea148d672b045c841cf0fa07bcb8,,
no,,InterfacesAsyncResources,GetInterfaceDetails,Asp.net WebMethod,None,,Orion\Interfaces\Services\AsyncResources.asmx,56,137,320a0f0520f11e289725ea89fc0c2917d88cf12555d0d7b9095d87388b7bd79f,,
