Approved,Comment,TypeName,Name,ProtocolDetail,RequiredRole,AllowedInOrionDemo,File,StartLine,EndLine,ImplSha256,GitPath,Revision
no,,AsaInterfacesController,Get,HttpGet,None,no,Web2\SolarWinds.Orion.NetMan.Firewalls.WebApi\Controllers\AsaInterfacesController.cs,22,45,60a5b04878c4f0b8d0e38a7ad1685cbc30782aec440de790cf0b4ad10b6789a2,,
no,,AsaInterfacesController,RemoveFavorite,HttpPost,None,no,Web2\SolarWinds.Orion.NetMan.Firewalls.WebApi\Controllers\AsaInterfacesController.cs,64,79,84e3d7a04346343bfb132d132e4115cf9aa6e02a15788f7595e3710038f00b5e,,
no,,AsaInterfacesController,SetFavorite,HttpPost,None,no,Web2\SolarWinds.Orion.NetMan.Firewalls.WebApi\Controllers\AsaInterfacesController.cs,47,62,69082b2354ccfbcae7bc3f19a6d5f3fb297ab44e89ffced05825313502826b1b,,
no,,AsaNodesController,HasCredentialsForNode,HttpGet,None,no,Web2\SolarWinds.Orion.NetMan.Firewalls.WebApi\Controllers\AsaNodesController.cs,20,44,3f3afb6aa22823f00ac9b97a223e9c7f11262c986272b0f340c5081a203332e9,,
no,,FirewallCredentialsValidationController,ValidateCredentials,HttpPost,None,no,Lib\SolarWinds.Orion.NetMan.Firewalls.Web\Controllers\FirewallCredentialsValidationController.cs,41,46,b4a5cc69997e0068165177e5ab9133f6dad30737cb2b2d6dd33308162d8c8962,,
no,,FirewallCredentialsValidationController,ValidateCredentialsForEngine,HttpPost,None,no,Lib\SolarWinds.Orion.NetMan.Firewalls.Web\Controllers\FirewallCredentialsValidationController.cs,31,36,3fcd36322527ae7cf0da391a8c20ef06cfc254a482fae780edd12e5fb31a6463,,
no,,HighAvailabilityController,GetHighAvailabilityInfo,HttpGet,None,no,Web2\SolarWinds.Orion.NetMan.Firewalls.WebApi\Controllers\HighAvailabilityController.cs,21,26,3f1792e5609be769d5f3abd243223adad0d5d3a97859ebf2ea85f51750ff08c5,,
no,,NodeContextController,GetNodeContexts,HttpGet,None,no,Web2\SolarWinds.Orion.NetMan.Firewalls.WebApi\Controllers\NodeContextController.cs,23,29,367ffb11b0f552eb3bdb8e28d5be80a22e682f8827b60b19e4c317da633eb4a4,,
no,,PlatformController,GetPlatformDetails,HttpGet,None,no,Web2\SolarWinds.Orion.NetMan.Firewalls.WebApi\Controllers\PlatformController.cs,35,41,2487c8478ce315e693a0280d172daaf78f3d63cdb0b35f95ff9fbc9f486bb9dc,,
no,,PlatformController,Index,HttpGet,None,no,Web2\SolarWinds.Orion.NetMan.Firewalls.WebApi\Controllers\PlatformController.cs,23,29,215def0065bfbbca0c2cedda559bade067e623283511f8eb7732d287f76875c8,,
no,,PollingStateController,GetPollingState,HttpGet,None,no,Web2\SolarWinds.Orion.NetMan.Firewalls.WebApi\Controllers\PollingStateController.cs,25,44,918b0057498bac9884a0cb976991c0495545334ff67623755d9eae4afd5d8aac,,
no,,VpnRemoteAccessController,GetSessions,HttpPost,None,no,Web2\SolarWinds.Orion.NetMan.Firewalls.WebApi\Controllers\VpnRemoteAccessController.cs,31,37,52866a6bc5c094bedd56b918b931ff2d2747b6a149a73f9c3d6d1d706cad3364,,
no,,VpnRemoteAccessController,GetSessionsViaGet,HttpGet,None,no,Web2\SolarWinds.Orion.NetMan.Firewalls.WebApi\Controllers\VpnRemoteAccessController.cs,39,45,3ee7cf1cc080e3d91fcd95523d64ea9460138b2d9ba55ed62d5d5bdb100b782f,,
no,,VpnSiteToSiteController,GetPerfstackLink,HttpPost,None,yes,Web2\SolarWinds.Orion.NetMan.Firewalls.WebApi\Controllers\VpnSiteToSiteController.cs,135,158,a256aa04ee64bfa409c39863864056d1333da967efe31888e39d5b99ddc2ae42,,
no,,VpnSiteToSiteController,GetTunnels,HttpGet,None,no,Web2\SolarWinds.Orion.NetMan.Firewalls.WebApi\Controllers\VpnSiteToSiteController.cs,47,61,27d3d1c30861085b39044ec3557b97708e058da137e88df5d55291ae7f965f19,,
no,,VpnSiteToSiteController,GetTunnels,HttpPost,None,no,Web2\SolarWinds.Orion.NetMan.Firewalls.WebApi\Controllers\VpnSiteToSiteController.cs,63,79,22961e4eff1607f8ba5fbec76290e81312824c1aeecf811b6f318d4b28e3301a,,
no,,VpnSiteToSiteController,GetTunnelsHealthChartData,HttpPost,None,no,Web2\SolarWinds.Orion.NetMan.Firewalls.WebApi\Controllers\VpnSiteToSiteController.cs,81,99,0ccb3731f0f6d52965299b3c73ca7809fcf2d60d49a46cb502d5cc69cdc0dea7,,
no,,VpnSiteToSiteController,RemoveFavorite,HttpPost,None,no,Web2\SolarWinds.Orion.NetMan.Firewalls.WebApi\Controllers\VpnSiteToSiteController.cs,118,133,fa9ccf41f2d7bde900ddfdc8a3d7094cc859ae0a7c9e0583edb5567a095bc2ac,,
no,,VpnSiteToSiteController,SetFavorite,HttpPost,None,no,Web2\SolarWinds.Orion.NetMan.Firewalls.WebApi\Controllers\VpnSiteToSiteController.cs,101,116,c4785af111544da60c5af052a28c782c5c5aebf1971a16e50826edb3101afba8,,
