Approved,Comment,TypeName,Name,ProtocolDetail,RequiredRole,AllowedInOrionDemo,File,StartLine,EndLine,ImplSha256,GitPath,Revision
no,,CloudNetworkMonitorController,AddNodeToNcmAsync,HttpPost,None,no,Src\Web2\SolarWinds.Orion.NetPath.WebApi\Controllers\CloudNetworkMonitorController.cs,497,511,52a4e558f34b386b8e675e11fd61cbc2d6aa64c272e6f7b07cca0f22352c24db,,
no,,CloudNetworkMonitorController,AnalyzePathDescriptors,HttpPost,None,no,Src\Web2\SolarWinds.Orion.NetPath.WebApi\Controllers\CloudNetworkMonitorController.cs,666,686,07c9cc37be112221dee044ad6a98356299870395b4dff9cf56d55ae2d0a6717f,,
no,,CloudNetworkMonitorController,ConvertGraph,HttpPost,None,no,Src\Web2\SolarWinds.Orion.NetPath.WebApi\Controllers\CloudNetworkMonitorController.cs,455,470,63d24fc0af4924ca186e8755732a3d9c1ed09a66a837cbccc5a6b10f2cc61af6,,
no,,CloudNetworkMonitorController,CreateAndUpdateServiceMonitorProbeThresholds,HttpPut,None,no,Src\Web2\SolarWinds.Orion.NetPath.WebApi\Controllers\CloudNetworkMonitorController.cs,272,287,ac44ef76277887b29f7bf57c425fc8861d58674bfa97be50e3bcd1db9f459df5,,
no,,CloudNetworkMonitorController,CreateServiceMonitorProbes,HttpPut,None,no,Src\Web2\SolarWinds.Orion.NetPath.WebApi\Controllers\CloudNetworkMonitorController.cs,311,325,2b218b6dda04ed6214292358889371c5b2440bcc0c7b8e941a81f2f03cc75354,,
no,,CloudNetworkMonitorController,DeleteServiceMonitorProbes,HttpDelete,None,no,Src\Web2\SolarWinds.Orion.NetPath.WebApi\Controllers\CloudNetworkMonitorController.cs,233,247,328431bd7b73b0e76c91ff36683bddc3329590ff7a9b94c5db75ce6bf5628094,,
no,,CloudNetworkMonitorController,DeleteServiceMonitorProbeThresholds,HttpDelete,None,no,Src\Web2\SolarWinds.Orion.NetPath.WebApi\Controllers\CloudNetworkMonitorController.cs,292,306,6d4bd5ff82f4635b3c39c25ad0cc256f4a16c3463dad6b205c0a441e49171cbe,,
no,,CloudNetworkMonitorController,DeleteServiceMonitors,HttpDelete,None,no,Src\Web2\SolarWinds.Orion.NetPath.WebApi\Controllers\CloudNetworkMonitorController.cs,209,228,51fd9606625d89e43d0f4bdaa50585d6e7e37aefa313d22fe59bd0ce9dcc0cc9,,
no,,CloudNetworkMonitorController,DeployAgentToMachine,HttpPost,None,no,Src\Web2\SolarWinds.Orion.NetPath.WebApi\Controllers\CloudNetworkMonitorController.cs,130,140,27c41dfa928b5b168494dd24f895be9b9211916f296da552de5ce015a9476244,,
no,,CloudNetworkMonitorController,GetGraphNcmChanges,HttpPost,None,no,Src\Web2\SolarWinds.Orion.NetPath.WebApi\Controllers\CloudNetworkMonitorController.cs,517,536,29f2d270b272fe5e7c5ecb16ee0c3a0f424311209451e5ce854b83e5d88b3fc7,,
no,,CloudNetworkMonitorController,GetNcmAccountRole,HttpGet,None,no,Src\Web2\SolarWinds.Orion.NetPath.WebApi\Controllers\CloudNetworkMonitorController.cs,638,652,0ce94cded8d9f4cda223cd2c22e076d27cfad93d79d987948cc2da8a12a34ec5,,
no,,CloudNetworkMonitorController,GetNcmConfig,HttpGet,None,no,Src\Web2\SolarWinds.Orion.NetPath.WebApi\Controllers\CloudNetworkMonitorController.cs,565,584,309c97f5d739f8753a44875c7a0d3880bb1dee7e0437faa6a524df710cbbad7e,,
no,,CloudNetworkMonitorController,GetNcmConfigComparisons,HttpGet,None,no,Src\Web2\SolarWinds.Orion.NetPath.WebApi\Controllers\CloudNetworkMonitorController.cs,613,632,243dfb7966e5bfa2c06f2b9897190093a04abe82dcfb257f685017f1821a6cb8,,
no,,CloudNetworkMonitorController,GetNcmConfigDiff,HttpGet,None,no,Src\Web2\SolarWinds.Orion.NetPath.WebApi\Controllers\CloudNetworkMonitorController.cs,589,608,f78deb5e80822912216e764b837fb558f7c18094772f9aec03a98d2e4ff47256,,
no,,CloudNetworkMonitorController,GetNcmConfigHistory,HttpGet,None,no,Src\Web2\SolarWinds.Orion.NetPath.WebApi\Controllers\CloudNetworkMonitorController.cs,541,560,0097bd46c275bd9a64a54e53877f54e3c7671c0fec7c233f6a4608cfe35de5eb,,
no,,CloudNetworkMonitorController,GetProbes,HttpGet,None,no,Src\Web2\SolarWinds.Orion.NetPath.WebApi\Controllers\CloudNetworkMonitorController.cs,119,125,41121643b637ebacba1d85a79615c47046717fea05b05fe109d88535831abcc2,,
no,,CloudNetworkMonitorController,GetServiceMonitorProbeThresholds,HttpPost,None,no,Src\Web2\SolarWinds.Orion.NetPath.WebApi\Controllers\CloudNetworkMonitorController.cs,251,257,08b133ca0b35e4b6970743d9dac3475e190fa137429c6e1287dc3a6b15445ea7,,
