Approved,Comment,TypeName,Name,ProtocolDetail,RequiredRole,AllowedInOrionDemo,File,StartLine,EndLine,ImplSha256,GitPath,Revision
no,,AddRemoveObjects,GetEntityGroups,Asp.net WebMethod,None,,Orion\NPM\Services\AddRemoveObjects.asmx,165,169,16ded16381cb05c3c3429fcc7bee5015eb6a1d2493bfc4ae3aeea54dced5e75b,,
no,,AddRemoveObjects,GetEntityGroups,Asp.net WebMethod,None,,Orion\NPM\Services\AddRemoveObjects.asmx,171,262,880b3acaab422aedba4de6adf088e0e1f14ed39fb06086edf88bf6e168169f0c,,
no,,AddRemoveObjects,GetGroupByProperties,Asp.net WebMethod,None,,Orion\NPM\Services\AddRemoveObjects.asmx,54,133,f19ca67342f5d2942bd4b12cf825d71c028c3719e3f248918a1acb2888c6ac92,,
no,,AddRemoveObjects,LoadEntities,Asp.net WebMethod,None,,Orion\NPM\Services\AddRemoveObjects.asmx,281,285,3a1b68c9e5be85559c5e1559b60e76f2be951c31a15b1d3349781db1749fa2f8,,
no,,AddRemoveObjects,LoadEntities,Asp.net WebMethod,None,,Orion\NPM\Services\AddRemoveObjects.asmx,287,327,9ca7b4b47af4bf2987d12cd0cb628eca254de5b3854ef5dbcaf94746fed687f5,,
no,,ContainerObjectsTreeProvider,ProcessRequest,Asp.net HttpHandler,Unknown,,Orion\NPM\Controls\EditResourceControls\AddRemoveObjects\AddRemoveObjectsTreeProvider.ashx,16,261,ba0af79d9552fdbb447e1cd1bb6b7c8dbf6a74ad10ffe7ca314bd36ce365366d,,
no,,EnergyWiseChartData,DeviceEnergyUsage,Asp.net WebMethod,None,,Orion\NPM\Services\EnergyWiseChartData.asmx,24,43,9c8cb28bb097f49b5c2a5a6a6b883e6e88871e4004b82e1a584af162d106817d,,
no,,EnergyWiseChartData,EntityEnergyUsage,Asp.net WebMethod,None,,Orion\NPM\Services\EnergyWiseChartData.asmx,135,154,04dccd6860091289fd87cecc9446cf496732ec0222e7b56260b9a417e5779461,,
no,,EnergyWiseChartData,OverallPowerConsumption,Asp.net WebMethod,None,,Orion\NPM\Services\EnergyWiseChartData.asmx,59,91,cea3454872365adc7b1a88a455b8dd073bca657186b5224fef536bb41d838ab8,,
no,,EnergyWiseChartData,OverallSavings,Asp.net WebMethod,None,,Orion\NPM\Services\EnergyWiseChartData.asmx,93,133,6b98df7b58bec0acda7d5113ecd9c277b2cf1dc4e79a39c9441f3e72a626b2f8,,
