Approved,Comment,TypeName,Name,ProtocolDetail,RequiredRole,AllowedInOrionDemo,File,StartLine,EndLine,ImplSha256,GitPath,Revision
no,,NTAIPGroupsManagementController,CreateNewGroup,HttpPost,None,no,Web\SolarWinds.Orion.NTA.IPGroupsManagement.WebApi\Controllers\NTAIPGroupsManagementController.cs,38,75,15908e44b261ee5801fe0d41ffb4798f742a06066ada9144cadfc133c215dac9,,
no,,NTAIPGroupsManagementController,DeleteExistingGroups,HttpPost,None,no,Web\SolarWinds.Orion.NTA.IPGroupsManagement.WebApi\Controllers\NTAIPGroupsManagementController.cs,243,274,bf1d71f9b7ac0ff2fe83f90dbff57a8645764e2703e414d36598800590c1b6bd,,
no,,NTAIPGroupsManagementController,DisableExistingGroups,HttpPost,None,no,Web\SolarWinds.Orion.NTA.IPGroupsManagement.WebApi\Controllers\NTAIPGroupsManagementController.cs,167,174,be6556f3789f08d3a32cadbd2201234ec9a9ad443ea57e918c30e4360418e855,,
no,,NTAIPGroupsManagementController,EnableExistingGroups,HttpPost,None,no,Web\SolarWinds.Orion.NTA.IPGroupsManagement.WebApi\Controllers\NTAIPGroupsManagementController.cs,158,165,ac46509ce3a18d74fc2fc51d6e6e4b9418a05cb8185369a9e9d738fb18ba2e8c,,
no,,NTAIPGroupsManagementController,ExportToXml,HttpGet,None,no,Web\SolarWinds.Orion.NTA.IPGroupsManagement.WebApi\Controllers\NTAIPGroupsManagementController.cs,276,298,eec5a1a4f89bd403292a79ab9580bd27e9c9574d9ee62f1ba90cd35cab46155d,,
no,,NTAIPGroupsManagementController,GetExistingGroup,HttpGet,None,no,Web\SolarWinds.Orion.NTA.IPGroupsManagement.WebApi\Controllers\NTAIPGroupsManagementController.cs,77,105,47555db2318f3ab0adbf030902f91cd119e7386e6ff488a92822355e31ae495f,,
no,,NTAIPGroupsManagementController,ImportFromIpam,HttpPost,None,no,Web\SolarWinds.Orion.NTA.IPGroupsManagement.WebApi\Controllers\NTAIPGroupsManagementController.cs,176,195,0519df612ea8c962eb80128c18938c07a1668013e7ef4cba3c29b1e65e69ea61,,
no,,NTAIPGroupsManagementController,ImportFromXml,HttpPost,None,no,Web\SolarWinds.Orion.NTA.IPGroupsManagement.WebApi\Controllers\NTAIPGroupsManagementController.cs,324,368,7c3e2bfc2c4e7c45cae0edd9a2cd4e5c7ae2370203161f69c419afd385fa9d22,,
no,,NTAIPGroupsManagementController,UpdateExistingGroup,HttpPut,None,no,Web\SolarWinds.Orion.NTA.IPGroupsManagement.WebApi\Controllers\NTAIPGroupsManagementController.cs,107,156,4a6f6d3e44490f8d5d59af05cfcb93fe52cc85042f26f401dee6889ee139056f,,
no,,NTAIPGroupsManagementController,ValidateImportXml,HttpPost,None,no,Web\SolarWinds.Orion.NTA.IPGroupsManagement.WebApi\Controllers\NTAIPGroupsManagementController.cs,300,322,c6c2de064bf41a62c76a93b12a74a662981ce53b9999de0f7ff999d1ca4f775b,,
no,,NTAIPGroupsManagementIPAMController,GetDirectory,HttpGet,None,no,Web\SolarWinds.Orion.NTA.IPGroupsManagement.WebApi\Controllers\NTAIPGroupsManagementIPAMController.cs,26,48,5c786e0c2f838cc35f825f2ce41be608e6a7090d0acced0e39ef5657fb0303e0,,
no,,NTAIPGroupsManagementIPAMController,GetDirectorySubnetNames,HttpGet,None,no,Web\SolarWinds.Orion.NTA.IPGroupsManagement.WebApi\Controllers\NTAIPGroupsManagementIPAMController.cs,50,72,0e269d58cd6b2c495086733abe103ad0656ddca4077449624272e6208f001c7a,,
no,,NTAIPGroupsManagementIPAMController,IsAvailable,HttpGet,None,no,Web\SolarWinds.Orion.NTA.IPGroupsManagement.WebApi\Controllers\NTAIPGroupsManagementIPAMController.cs,74,89,e735a8d74a0388af4ddead7602a9fca89cdff6f43d027c745343c1764760caa8,,
