Approved,Comment,TypeName,Name,ProtocolDetail,RequiredRole,AllowedInOrionDemo,File,StartLine,EndLine,ImplSha256,GitPath,Revision
no,,AllNetflowSourcesNodeTree,BuildTreeLevel,Asp.net WebMethod,None,,Orion\TrafficAnalysis\WebServices\AllNetflowSourcesNodeTree.asmx,79,146,af7f7506a24b32c3694db3fd0c64ac6d37d56747e2717127b0a64cc9af077209,,
no,,AllNetflowSourcesNodeTree,GetNodesCount,Asp.net WebMethod,None,,Orion\TrafficAnalysis\WebServices\AllNetflowSourcesNodeTree.asmx,62,77,44a928b4098a02f869733e6a8cfc32411d29b61a7064f7390502b1f34e8c56ed,,
no,,AllNetflowSourcesNodeTree,GetTreeSection,Asp.net WebMethod,None,,Orion\TrafficAnalysis\WebServices\AllNetflowSourcesNodeTree.asmx,41,60,8afd5d03f9efd9a78a132385177930ac2ce77587a3cbcb79e67b39e352f12f93,,
no,,ChartImageGenerator,ProcessRequest,Asp.net HttpHandler,Unknown,,Orion\TrafficAnalysis\Utils\ColorImageGenerator.ashx,15,92,cc5daf5d68d032494f4f600486ebf6a31f54e2426b8ff1b2dd484cbc8d381caf,,
no,,DnsBuilder,ProcessRequest,Asp.net HttpHandler,Unknown,,Orion\TrafficAnalysis\Controls\DnsBuilder.ashx,11,32,8560f66de9163bd6a9162c591666e0be0bc70d635af1f85ee0e38ed8450a5cb3,,
no,,DnsResolverService,LookupHostname,Asp.net WebMethod,None,,Orion\TrafficAnalysis\WebServices\DnsResolverService.asmx,25,67,ed620ab225da6ef45d65e41de55be3b3a3aeb8ddf79bd8465864eb3d80acec10,,
no,,NetFlowAppsService,GetSubmitApplicationChangesProgress,Asp.net WebMethod,None,,Orion\TrafficAnalysis\WebServices\NetFlowAppsService.asmx,48,65,0b57eb5b2ff27e268396beb478f91ffd6c3fb493693065e13cab1d729b4163ae,,
no,,NetFlowAppsService,SubmitApplicationChanges,Asp.net WebMethod,None,,Orion\TrafficAnalysis\WebServices\NetFlowAppsService.asmx,21,46,2cee862a31eddd66b433f38f025695ad2325c583fd898d1071a2aa2fa553cee8,,
no,,NetflowNotificatorService,DismissNotification,Asp.net WebMethod,None,,Orion\TrafficAnalysis\WebServices\NetflowNotificatorService.asmx,23,58,dff3452d043ffddc8e186803b6a8111268dd2202890a4270681f14a4ae6d6812,,
no,,ResourceChartService,AreaChartData,Asp.net WebMethod,None,,Orion\TrafficAnalysis\WebServices\ResourceChartService.asmx,120,249,9340ede0b6b80f85cd39706772fbce3d1e64bdc3a2abc75803adf28d1b929477,,
no,,ResourceChartService,ClearPage,Asp.net WebMethod,None,,Orion\TrafficAnalysis\WebServices\ResourceChartService.asmx,35,42,3aa21cf83ba530d68a7cd78d3f2ae4d27917a8680f05f25f4310ad9bbbc56dbb,,
no,,ResourceChartService,PieChartData,Asp.net WebMethod,None,,Orion\TrafficAnalysis\WebServices\ResourceChartService.asmx,44,118,f92e9ec87eeef9fbcc2de03ebc57a53337af9372e90c54e9701e504639123dc1,,
no,,ResourceChartService,TopResourceLegend,Asp.net WebMethod,None,,Orion\TrafficAnalysis\WebServices\ResourceChartService.asmx,268,291,033dc27c580ef2155a84bb89c553e5359e4d395e5a9c27c8dc8fb40fb0d9aa3c,,
no,,ResourceChartService,TopResourceLegendWarningMessage,Asp.net WebMethod,None,,Orion\TrafficAnalysis\WebServices\ResourceChartService.asmx,293,308,08d28599be1734a570d3f8af067ae81bf166dd2c2451b57f40f53b3c0eb3f7d9,,
no,,ResourceService,TopConversations,Asp.net WebMethod,None,,Orion\TrafficAnalysis\WebServices\ResourceService.asmx,46,64,fb6c4649a62d704195d1cfa3f39dd83ff014843b5ca8567f569eb8b44adf02af,,
no,,ThwackService,GetRecentNetFlowPosts,Asp.net WebMethod,None,,Orion\TrafficAnalysis\WebServices\ThwackService.asmx,20,25,e6300a1b14aa2122d1cdc2ac012f8ec4e0df5eb4faf3f9dd66cbd64299b334e4,,
no,,TimePeriodValidator,ValidateTime,Asp.net WebMethod,None,,Orion\TrafficAnalysis\TimePeriod\TimePeriodValidator.asmx,17,22,fd0aed4909cb9a79e02355081419b136f2db0364cb77af655b0a4507cd73aede,,
no,,TrafficViewBuilderService,GetAdvancedApplication,Asp.net WebMethod,None,,Orion\TrafficAnalysis\WebServices\TrafficViewBuilderService.asmx,34,40,bb01b759eb8a484b501b69496987cf0dc06ee0f273be9585f666827aa69101be,,
no,,TrafficViewBuilderService,GetAdvancedApplications,Asp.net WebMethod,None,,Orion\TrafficAnalysis\WebServices\TrafficViewBuilderService.asmx,26,32,17cd49c1795a17a2ce357e13128289c92643cf21e8c93c947d7c204600e8f6e5,,
